YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2017,11,1,6.84
2017,11,2,7.7
2017,11,3,7.58
2017,11,4,7.59
2017,11,5,6.63
2017,11,6,5.23
2017,11,7,5.92
2017,11,8,5.13
2017,11,9,6.72
2017,11,10,6.51
2017,11,11,6.31
2017,11,12,7.39
2017,11,13,7.7
2017,11,14,8.1
2017,11,15,6.91
2017,11,16,7.35
2017,11,17,7.04
2017,11,18,2.51
2017,11,19,5.43
2017,11,20,7.34
2017,11,21,6.77
2017,11,22,4.86
2017,11,23,7.8
2017,11,24,8
2017,11,25,6.79
2017,11,26,7.71
2017,11,27,7.27
2017,11,28,6.86
2017,11,29,2.3
2017,11,30,5.21
2017,12,1,7.79
2017,12,2,6.71
2017,12,3,4.99
2017,12,4,2.59
2017,12,5,5.34
2017,12,6,8.79
2017,12,7,8.91
2017,12,8,5.78
2017,12,9,7.87
2017,12,10,7.83
2017,12,11,6.8
2017,12,12,7.04
2017,12,13,8.01
2017,12,14,8.39
2017,12,15,8.54
2017,12,16,8.2
2017,12,17,7.87
2017,12,18,7.86
2017,12,19,8.16
2017,12,20,8.17
2017,12,21,7.48
2017,12,22,6.08
2017,12,23,7.34
2017,12,24,8.38
2017,12,25,8.1
2017,12,26,5.81
2017,12,27,7.47
2017,12,28,7.62
2017,12,29,6.88
2017,12,30,5.77
2017,12,31,5.8
2018,1,1,6.05
2018,1,2,4.47
2018,1,3,6.88
2018,1,4,7.84
2018,1,5,7.06
2018,1,6,8.28
2018,1,7,8.8
2018,1,8,8.72
2018,1,9,8.26
2018,1,10,8.08
2018,1,11,7.25
2018,1,12,7.93
2018,1,13,7.92
2018,1,14,7.43
2018,1,15,8.44
2018,1,16,8.45
2018,1,17,8.6
2018,1,18,8.57
2018,1,19,8.56
2018,1,20,7.75
2018,1,21,6.11
2018,1,22,7.46
2018,1,23,8.25
2018,1,24,7.5
2018,1,25,7.78
2018,1,26,7.51
2018,1,27,7.57
2018,1,28,6.57
2018,1,29,6.85
2018,1,30,6.22
2018,1,31,7.81
2018,2,1,2.57
2018,2,2,2.55
2018,2,3,1.79
2018,2,4,7.07
2018,2,5,7.6
2018,2,6,7.77
2018,2,7,7.92
2018,2,8,7.24
2018,2,9,8.19
2018,2,10,7.79
2018,2,11,7.52
2018,2,12,7.7
2018,2,13,6.44
2018,2,14,7.55
2018,2,15,6.41
2018,2,16,6.66
2018,2,17,7.03
2018,2,18,7.13
2018,2,19,7.38
2018,2,20,4.98
2018,2,21,3.65
2018,2,22,2.76
2018,2,23,1.81
2018,2,24,3.77
2018,2,25,6.28
2018,2,26,7.09
2018,2,27,4.38
2018,2,28,7.21
2018,3,1,7.33
2018,3,2,5.22
2018,3,3,5.25
2018,3,4,6.31
2018,3,5,3.3
2018,3,6,1.74
2018,3,7,3.49
2018,3,8,4.61
2018,3,9,5.37
2018,3,10,4.74
2018,3,11,4.12
2018,3,12,5.79
2018,3,13,4.44
2018,3,14,5.89
2018,3,15,5.85
2018,3,16,6.8
2018,3,17,6.67
2018,3,18,5.98
2018,3,19,5.92
2018,3,20,6.25
2018,3,21,3.52
2018,3,22,5.58
2018,3,23,4.86
2018,3,24,4.71
2018,3,25,4.81
2018,3,26,4.34
2018,3,27,2.41
2018,3,28,5.83
2018,3,29,4.08
2018,3,30,4.89
2018,3,31,5.63
2018,4,1,5.46
2018,4,2,5.75
2018,4,3,5.53
2018,4,4,3.1
2018,4,5,5.08
2018,4,6,5.3
2018,4,7,5.6
2018,4,8,5.34
2018,4,9,5.94
2018,4,10,5.24
2018,4,11,5.16
2018,4,12,4.07
2018,4,13,5.11
2018,4,14,3.32
2018,4,15,5.37
2018,4,16,5.6
2018,4,17,5.4
2018,4,18,3.19
2018,4,19,4.03
2018,4,20,3.15
2018,4,21,3.87
2018,4,22,4.03
2018,4,23,4.58
2018,4,24,5
2018,4,25,4.61
2018,4,26,4.96
2018,4,27,4.49
2018,4,28,3.51
2018,4,29,4.15
2018,4,30,3.99
2018,5,1,4.28
2018,5,2,3.7
2018,5,3,4.13
2018,5,4,4.47
2018,5,5,4
2018,5,6,4.25
2018,5,7,2.51
2018,5,8,2.2
2018,5,9,4.49
2018,5,10,4.66
2018,5,11,4.88
2018,5,12,4.74
2018,5,13,4.68
2018,5,14,4.46
2018,5,15,4.57
2018,5,16,4.09
2018,5,17,2.81
2018,5,18,3.92
2018,5,19,4.2
2018,5,20,4.37
2018,5,21,4.2
2018,5,22,4.52
2018,5,23,3.51
2018,5,24,3.47
2018,5,25,2.65
2018,5,26,3.14
2018,5,27,2.94
2018,5,28,2.81
2018,5,29,2.64
2018,5,30,4.06
2018,5,31,4.28
2018,6,1,4.11
2018,6,2,4.23
2018,6,3,3.55
2018,6,4,3.2
2018,6,5,3.7
2018,6,6,3.07
2018,6,7,2.23
2018,6,8,2.87
2018,6,9,2.56
2018,6,10,3.24
2018,6,11,3.73
2018,6,12,3.69
2018,6,13,2.83
2018,6,14,2.96
2018,6,15,3.88
2018,6,16,4.09
2018,6,17,4
